Day,Revenue
2024-10-05,2523.00
2024-10-06,38.25
2024-10-07,527.00
2024-10-08,746.14
2024-10-09,0.00
2024-10-10,816.71
2024-10-11,479.15
2024-10-12,649.00
2024-10-13,2001.00
2024-10-14,1800.00
2024-10-15,1709.55
2024-10-16,0.00
2024-10-17,0.00
2024-10-18,0.00
2024-10-19,0.00
2024-10-20,0.00
2024-10-21,622.99
2024-10-22,1110.00
2024-10-23,193.98
2024-10-24,0.00
2024-10-25,345.00
2024-10-26,0.00
2024-10-27,0.00
2024-10-28,0.00
2024-10-29,0.00
2024-10-30,556.80
2024-10-31,0.00
2024-11-01,0.00
2024-11-02,0.00
2024-11-03,1265.71
2024-11-04,92.44
2024-11-05,0.00
